timestamp_transactions,mine_time(sec)
1591315200000, 0.021436
1591318800000, 0.013262
1591322400000, 0.006094
1591326000000, 0.014242
1591329600000, 0.026718
1591333200000, 0.009987
1591336800000, 0.003327
1591340400000, 0.005442
1591344000000, 0.012382
1591347600000, 0.015782
1591351200000, 0.009007
1591354800000, 0.006595
1591358400000, 0.007489
1591362000000, 0.004596
1591365600000, 0.004768
1591369200000, 0.004836
1591372800000, 0.017239
1591376400000, 0.009894
1591380000000, 0.003354
1591383600000, 0.008888
1591387200000, 0.003642
1591390800000, 0.00446
1591394400000, 0.003768
1591398000000, 0.003841
1591401600000, 0.007873
